id,chain,dept,category,company,brand,date,productsize,productmeasure,purchasequantity,purchaseamount
86301,205,81,8101,102820020,11186,3/3/2012,1,CT,2,9.54
86302,205,27,2702,102310020,13705,3/3/2012,17,LB,1,18.89
86303,205,81,8101,102610020,11320,3/3/2012,1,CT,1,3.59
86304,205,64,6408,101323212,40291,3/3/2012,0.75,LT,1,10.29
86305,205,36,3601,104900040,3809,3/4/2012,20,OZ,1,1.69
86306,205,56,5620,107592575,4368,3/4/2012,8,OZ,1,3.19
86307,205,41,4106,101116616,15266,3/4/2012,6.5,OZ,1,1.69
86308,205,63,6316,101116616,15266,3/4/2012,8,OZ,1,1.29
86309,205,33,3307,107641070,10160,3/4/2012,1.5,OZ,2,1
86310,205,23,2301,103340030,68309,3/4/2012,12,OZ,1,1.5
86311,205,44,4402,103100030,1358,3/4/2012,7,OZ,2,1.98
86312,205,26,2633,105400050,16048,3/4/2012,12,RL,1,8.39
86313,205,9,902,107641070,10160,3/4/2012,2.25,OZ,2,1.98
86314,205,56,5613,101116616,15266,3/4/2012,15,OZ,1,2.49
86315,205,8,811,104112949,3635,3/4/2012,24,OZ,1,3.19
86316,205,9,908,104980040,12592,3/4/2012,8,OZ,1,3.99
86317,205,64,6408,108289686,6276,3/5/2012,0.75,LT,1,8.29
86318,205,9,915,107312474,18613,3/5/2012,12,OZ,2,3.48
86319,205,63,6315,104138343,10091,3/5/2012,64,OZ,1,4.39
86320,205,16,1601,102200020,1827,3/5/2012,15,CT,1,1.29
86321,205,58,5899,107117474,22410,3/5/2012,16,OZ,5,13.05
86322,205,36,3611,108265787,4687,3/5/2012,202.8,OZ,1,4.49
86323,205,70,7002,1030813737,25162,3/6/2012,30,CT,1,2.39
86324,205,41,4105,101116616,15266,3/6/2012,14.75,OZ,6,8.34
86325,205,26,2634,103700030,3293,3/6/2012,6,RL,1,4.99
86326,205,41,4105,101116616,15266,3/6/2012,14.5,OZ,4,5.56
86327,205,73,7318,1030004535,10091,3/6/2012,32,CT,1,8.49
86328,205,41,4107,101116616,15266,3/6/2012,14.5,OZ,1,0.69
86329,205,56,5620,101116616,15266,3/6/2012,8,OZ,2,6.18
86330,205,41,4107,101116616,15266,3/6/2012,13.5,OZ,1,1.29
86331,205,75,7501,104589343,17521,3/6/2012,18,OZ,1,3.29
86332,205,37,3703,105100050,2820,3/6/2012,10.75,OZ,1,0.79
86333,205,26,2628,1077191373,13194,3/6/2012,1,RL,1,1
86334,205,29,2904,101600010,7860,3/6/2012,7.2,OZ,1,1.5
86335,205,72,7205,103500030,3830,3/6/2012,4.6,OZ,1,3.99
86336,205,33,3303,104166444,7179,3/6/2012,16,OZ,1,3.49
86337,205,63,6315,101116616,15266,3/6/2012,128,OZ,1,3.69
86338,205,29,2923,104100040,9814,3/6/2012,4.3,OZ,1,1.49
86339,205,21,2116,104300040,26420,3/6/2012,40.5,OZ,1,1.39
86340,205,97,9753,1022042424,0,3/6/2012,1,CT,3,34.99
86341,205,58,5823,107740070,2500,3/6/2012,2,OZ,1,0.89
86342,205,51,5134,107008575,26885,3/6/2012,7,OZ,1,2.69
86343,205,26,2628,104116343,8435,3/6/2012,1,RL,1,2.69
86344,205,97,9753,1022021020,0,3/6/2012,1,CT,3,27.3
